Buy,Sell,Value
1,26,-551.134333877009
1,27,-617.0530528279218
1,28,-614.5609235973741
1,29,-636.7703854037649
1,30,-647.6415440262692
1,31,-486.5737146610471
1,32,-474.30956670752494
1,33,-378.8854259717161
1,34,-392.29509867176927
1,35,-323.3663727804561
1,36,-431.8982732297459
1,37,-453.7417941994176
1,38,-541.7717549755098
1,39,-553.1205411048061
1,40,-608.9922855034855
1,41,-559.442906452154
1,42,-522.763546436368
1,43,-527.1825262078838
1,44,-491.96651407348844
1,45,-491.24802694679045
1,46,-499.9350433576735
1,47,-509.9350207324878
1,48,-452.4681752283445
1,49,-472.6191086180646
1,50,-470.9809229624249
1,51,-471.50924207747556
1,52,-476.4299252623804
1,53,-519.5441996233701
1,54,-628.3095041568573
1,55,-657.0896653032252
1,56,-659.2342503485906
1,57,-659.3644135783236
1,58,-658.523406277513
1,59,-654.7358925043079
1,60,-656.2395770425192
1,61,-655.907176780794
1,62,-656.0512569967995
1,63,-640.004940140583
1,64,-614.0667945938114
1,65,-614.083650333881
1,66,-614.3371134695195
1,67,-616.7497440807921
1,68,-616.7338767330793
1,69,-616.4663462419501
1,70,-617.0330861390479
1,71,-617.1632640519796
1,72,-617.1905440035205
1,73,-617.1904311247717
1,74,-587.8749874090101
1,75,-586.161295754293
1,76,-587.2410905988477
1,77,-588.6574185642347
1,78,-588.967462470714
1,79,-588.9523268956684
1,80,-589.0147786775902
1,81,-589.1022127318183
1,82,-589.1045240525078
1,83,-589.1765318647982
1,84,-589.1871127845243
1,85,-589.1871127845243
1,86,-589.1923479157648
1,87,-589.1923479157648
1,88,-589.1975148082399
1,89,-589.1954417442613
1,90,-589.1703359004558
1,91,-589.1812060010861
1,92,-588.8082007195744
1,93,-588.8131977537514
1,94,-588.8111235761045
1,95,-589.4362788615153
1,96,-589.4362788615153
1,97,-589.4362788615153
1,98,-589.4362788615153
1,99,-589.4362788615153
2,0,-990
2,1,-990
2,2,-990
2,3,-990
2,4,-990
2,5,-980.2897389977645
2,6,-961.0671471195517
2,7,-940.9258232424934
2,8,-881.33307516375
2,9,-829.2692194307317
2,10,-739.2993465461203
2,11,-495.8826155069909
2,12,-573.2202193499726
2,13,-596.7511528305661
2,14,-88.81654218229369
2,15,-138.7685707965611
