Buy,Sell,Value
35,13,219.17
35,14,1163.07
35,15,813.93
35,16,447.51
35,17,319.46
35,18,491.15
35,19,704.43
35,20,335.03
35,21,332.33
35,22,295.12
35,23,683.83
35,24,1027.52
35,25,1983.70
35,26,2256.59
35,27,1779.88
35,28,2236.99
35,29,2017.67
35,30,2526.07
35,31,3126.39
35,32,3211.82
35,33,3600.27
35,34,2929.26
36,0,2101.34
36,1,2101.34
36,2,2101.34
36,3,2101.34
36,4,2101.34
36,5,1973.87
36,6,1527.56
36,7,1738.52
36,8,1055.75
36,9,1005.66
36,10,271.55
36,11,284.83
36,12,519.39
36,13,336.50
36,14,1374.19
36,15,989.38
36,16,646.26
36,17,499.95
36,18,695.60
36,19,939.08
36,20,516.96
36,21,612.20
36,22,566.71
36,23,1040.27
36,24,1455.77
36,25,2316.94
36,26,2620.45
36,27,2151.28
36,28,2764.15
36,29,2601.62
36,30,3187.06
36,31,3879.85
36,32,3981.53
36,33,4444.88
36,34,3633.79
36,35,3553.47
37,0,2101.34
37,1,2101.34
37,2,2101.34
37,3,2101.34
37,4,2101.34
37,5,1973.87
37,6,1527.56
37,7,1738.52
37,8,928.54
37,9,881.57
37,10,193.29
37,11,205.82
37,12,425.74
37,13,256.84
37,14,1231.81
37,15,870.24
37,16,547.85
37,17,410.39
37,18,594.20
37,19,822.96
37,20,426.36
37,21,515.84
37,22,473.10
37,23,918.03
37,24,1308.45
37,25,2117.57
37,26,2402.72
37,27,1961.90
37,28,2537.72
37,29,2197.41
37,30,3094.47
37,31,3775.54
37,32,3875.15
37,33,4471.91
37,34,3655.14
37,35,3574.42
37,36,3875.23
38,0,2101.34
38,1,2101.34
38,2,2101.34
38,3,2101.34
38,4,2101.34
38,5,1973.87
38,6,1527.56
38,7,1738.52
38,8,928.54
38,9,881.57
38,10,167.91
38,11,180.37
38,12,395.70
38,13,230.63
38,14,1026.82
38,15,828.25
38,16,507.60
38,17,390.01
38,18,571.07
38,19,796.91
38,20,407.07
38,21,496.36
38,22,454.24
